panel,trace,condition,G_Wm2,T_C,Isc_reported_A,Voc_reported_V,Pmpp_reported_W,Vmpp_reported_V,Impp_reported_A,Pmpp_reconstructed_W,Vmpp_reconstructed_V,Impp_reconstructed_A,reported_mpp_consistent,reported_mpp_failure_reason,reported_mpp_product_error_pct,reported_vs_curve_pmpp_error_pct,reported_impp_exceeds_isc,reported_vmpp_exceeds_voc,Pmpp_W,Vmpp_V,Impp_A,FF,Pmpp_source,Vmpp_source,Impp_source
M5_30112,PanelA_Clean,Clean,910.0,42.6,1.76255,20.12,24.11,15.55,1.55,24.1123665159811,15.555521,1.5500841479999996,True,,0.03110742430525397,0.009815495566576994,False,False,24.11,15.55,1.55,0.6798729903633994,dataset_reported,dataset_reported,dataset_reported
M5_30112,PanelB_Clean,Clean,948.0,40.1,1.81649,21.06,23.33,15.36,1.52,23.331442691901263,15.391088,1.515906003,True,,0.07372481783112965,0.0061838486980892666,False,False,23.33,15.36,1.52,0.6098504668090334,dataset_reported,dataset_reported,dataset_reported
M5_30112,PanelC_Clean,Clean,900.0,34.2,1.70726,21.19,22.21,15.37,1.45,22.211684717415075,15.374876,1.4446740720000002,True,,0.3444394416929122,0.007585400338019058,False,False,22.21,15.37,1.45,0.6139287004712745,dataset_reported,dataset_reported,dataset_reported
M5_30112,PanelA_Shadow,Shaded,934.0,42.7,0.435,19.6,6.98,17.94,0.39,6.9783055678297465,17.957943,0.3885915869,True,,0.23782234957020618,0.024275532525127364,False,False,6.98,17.94,0.39,0.8186722965048089,dataset_reported,dataset_reported,dataset_reported
M5_30112,PanelB_Shadow,Shaded,970.0,39.9,0.44,20.5,6.43,17.62,0.36,6.425772096949389,17.645288,0.3641636280999998,True,,1.3499222395023223,0.06575276906081638,False,False,6.43,17.62,0.36,0.7128603104212861,dataset_reported,dataset_reported,dataset_reported
M5_30112,PanelC_Shadow,Shaded,900.0,37.9,0.343,21.0,5.76,19.63,0.29,5.761196094945759,19.641644,0.2933153709,True,,1.1684027777777841,0.02076553725276055,False,False,5.76,19.63,0.29,0.7996668054977092,dataset_reported,dataset_reported,dataset_reported
M5_30112,PanelA_Dirt,Soiled,900.0,39.4,1.74188,19.74,23.32,15.27,1.53,23.322200749509477,15.249815,1.5293431919999998,True,,0.18481989708404387,0.00943717628420629,False,False,23.32,15.27,1.53,0.6782084009476863,dataset_reported,dataset_reported,dataset_reported
M5_30112,PanelB_Dirt,Soiled,950.0,40.3,1.77813,21.22,23.03,15.68,1.47,23.02632084395997,15.677495,1.4687500039999992,True,,0.08510638297871018,0.015975493009259392,False,False,23.03,15.68,1.47,0.6103585731789425,dataset_reported,dataset_reported,dataset_reported
M5_30112,PanelC_Dirt,Soiled,990.0,37.4,1.7,21.3,22.05,15.33,1.44,22.044709761013028,15.369473,1.4343178689999996,True,,0.11428571428570572,0.023992013546362333,False,False,22.05,15.33,1.44,0.6089478044739023,dataset_reported,dataset_reported,dataset_reported
SP090P,Panel1_Clean,Clean,920.0,40.3,5.02698,19.7,54.11,13.6,3.98,54.10304706920118,13.603168,3.977238763,True,,0.03326557013491163,0.0128496226184026,False,False,54.11,13.6,3.98,0.5463917715237008,dataset_reported,dataset_reported,dataset_reported
SP090P,Panel2_Clean,Clean,950.0,39.6,5.02541,21.0,74.67,15.76,4.74,74.66499559908831,15.73771,4.744336730000001,True,,0.04339092004820616,0.006702023452105815,False,False,74.67,15.76,4.74,0.7075471027665974,dataset_reported,dataset_reported,dataset_reported
SP090P,Panel3_Clean,Clean,933.0,39.3,5.00519,21.3,72.1,15.95,4.52,72.0920868860903,15.977026,4.512234434999999,True,,0.00832177531206689,0.010975192662544249,False,False,72.1,15.95,4.52,0.6762933127057307,dataset_reported,dataset_reported,dataset_reported
SP090P,Panel2_Shadow,Shaded,946.0,41.4,0.7,20.3,12.25,19.22,0.64,12.236835296039922,19.184628,0.6378458470000004,True,,0.414693877551011,0.10746697110267361,False,False,12.25,19.22,0.64,0.8620689655172414,dataset_reported,dataset_reported,dataset_reported
SP090P,Panel3_Shadow,Shaded,940.0,41.9,0.594,20.6,9.22,14.94,0.62,10.34982833152791,18.952261,0.5460999260999999,False,reported Impp exceeds reported Isc; reported Pmpp differs from measured-curve maximum,0.4642082429501055,12.254103378827645,True,False,10.34982833152791,18.952261,0.5460999260999999,0.8458229815573134,reconstructed_after_consistency_failure,reconstructed_after_consistency_failure,reconstructed_after_consistency_failure
SP090P,Panel1_Dirt,Soiled,942.0,43.2,0.76,17.65,9.22,14.94,0.62,9.218041242735618,14.943336,0.6168663571999999,True,,0.4642082429501055,0.021244655795909784,False,False,9.22,14.94,0.62,0.6873415834203072,dataset_reported,dataset_reported,dataset_reported
SP090P,Panel2_Dirt,Soiled,970.0,39.9,5.07412,21.67,79.57,16.66,4.78,79.55752073354208,16.636301,4.782164060000001,True,,0.08143772778686101,0.015683381246595556,False,False,79.57,16.66,4.78,0.7236519103386387,dataset_reported,dataset_reported,dataset_reported
SP090P,Panel3_Dirt,Soiled,935.0,39.0,5.03607,21.6,74.23,16.43,4.52,74.22416276628627,16.412426,4.522437010000001,True,,0.04526471776908628,0.007863712398941446,False,False,74.23,16.43,4.52,0.6823920386480081,dataset_reported,dataset_reported,dataset_reported
